GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,default,BaseTest,57,0,2,0,10,0,3,0,2,0
JaCoCo Coverage Report,default,Solution,33,134,7,19,12,37,7,17,0,2
