GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,default,BaseTest,48,0,2,0,9,0,3,0,2,0
JaCoCo Coverage Report,default,Solution,0,29,0,2,0,7,0,3,0,2
