GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,default,BaseTest,69,0,10,0,10,0,7,0,2,0
JaCoCo Coverage Report,default,Solution,6,74,1,3,1,11,1,3,0,2
