GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,default,BaseTest,332,0,16,0,15,0,10,0,2,0
JaCoCo Coverage Report,default,Solution,0,53,0,8,0,7,0,6,0,2
