GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,default,ImprovedBaseTest,32,0,2,0,8,0,4,0,3,0
JaCoCo Coverage Report,default,BaseTest,57,0,2,0,10,0,3,0,2,0
JaCoCo Coverage Report,default,Solution,0,167,1,25,0,49,1,23,0,2
